Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso_with_base,0.00108284784166282,0.00354020612854853,0.161961597641992,0,0,0,6.09034487721949,0.0311117225047476,1.34114408391613E-06,4.50213706282103E-08,0.0233704735774127,6.12804905599851E-06,0.045740183988236,0,0,0,0,0,0,package://ajit_2/meshes/torso_with_base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/torso_with_base.STL,,Ajit_Torso_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_right_wheel,0.001143679825796,-0.000172693112231372,-0.020243699800859,0,0,0,0.207966248762552,4.9547221955099E-05,6.15265107138912E-10,-1.53778223115391E-20,4.95574096353451E-05,8.37649774801772E-20,9.25765008771463E-05,0,0,0,0,0,0,package://ajit_2/meshes/rear_right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/rear_right_wheel.STL,,wheel-1,Origin_rear_right_wheel,Axis_rear_right_wheel,rear_right_wheel,continuous,0.096,0.125,0.053,1.5708,0.86888,-1.5708,torso_with_base,0,0,1,,,,,,,,,,,,
front_right_wheel,0.0011436798258164,-0.000172693112257108,-0.0202436998007355,0,0,0,0.207966248762552,4.95472219550989E-05,6.15265107127054E-10,-1.99369922450585E-20,4.9557409635345E-05,5.26736987563944E-20,9.25765008771462E-05,0,0,0,0,0,0,package://ajit_2/meshes/front_right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/front_right_wheel.STL,,wheel-2,Origin_front_right_wheel,Axis_front_right_wheel,front_right_wheel,continuous,0.096,-0.125,0.053,1.5708,-0.94871,-1.5708,torso_with_base,0,0,1,,,,,,,,,,,,
front_left_wheel,0.00114367982587759,-0.000172693112185762,-0.020243699800731,0,0,0,0.207966248762552,4.9547221955099E-05,6.15265107143571E-10,-3.85100515835727E-20,4.95574096353451E-05,3.15860975115351E-20,9.25765008771463E-05,0,0,0,0,0,0,package://ajit_2/meshes/front_left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/front_left_wheel.STL,,wheel-3,Origin_front_left_wheel,Axis_front_left_wheel,front_left_wheel,continuous,-0.096,-0.125,0.053,1.5708,-1.4317,1.5708,torso_with_base,0,0,1,,,,,,,,,,,,
rear_left_wheel,0.00114367982587757,-0.000172693112185839,-0.0202436998007312,0,0,0,0.207966248762552,4.9547221955099E-05,6.15265107152465E-10,-1.70255915406408E-20,4.95574096353451E-05,8.3639945478462E-20,9.25765008771463E-05,0,0,0,0,0,0,package://ajit_2/meshes/rear_left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/rear_left_wheel.STL,,wheel-4,Origin_rear_left_wheel,Axis_rear_left_wheel,rear_left_wheel,continuous,-0.096,0.125,0.053,-1.5708,0.65905,-1.5708,torso_with_base,0,0,1,,,,,,,,,,,,
neck,-0.000474529164049275,0.0253734807135814,-5.83476752827952E-05,0,0,0,0.0554686870532122,1.14400758927377E-05,2.03624999523414E-08,-4.98085641671817E-08,1.01925600115723E-05,9.13023300857169E-09,1.45873483934887E-05,0,0,0,0,0,0,package://ajit_2/meshes/neck.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/neck.STL,,neck-1,Origin_neck,Axis_neck,neck,continuous,0.00050777,-0.020966,0.83778,1.5708,0.00019861,0.07342,torso_with_base,5.223E-05,-1,0.0020047,,,,,,,,,,,,
head,0.000531720839375085,0.0676698231429836,0.0022355182505913,0,0,0,0.279948972455118,0.000268465899949766,-2.50978769356943E-06,-8.51304073909741E-07,0.000569785608013155,8.09060094401545E-05,0.000611480471899482,0,0,0,0,0,0,package://ajit_2/meshes/head.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/head.STL,,head-1,Origin_head,Axis_head,head,continuous,0,0,0,0.073603,-3.6641E-05,0.0011629,neck,0.99988,8.3755E-05,0.015807,,,,,,,,,,,,
left_shoulder_joint,5.89805981832114E-17,-0.00980756234729827,0,0,0,0,0.0197456142642722,3.01374083482572E-06,7.54758364984596E-21,3.67268191973544E-21,7.41578906605364E-06,-2.17718137750505E-21,7.68967212426087E-06,0,0,0,0,0,0,package://ajit_2/meshes/left_shoulder_joint.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ajit_2/meshes/left_shoulder_joint.STL,,FR-H101K-2,Origin_left_shoulder_joint,Axis_left_shoulder_joint,left_shoulder_joint,continuous,0.13001,-0.027088,0.77878,0,-0.020253,1.5709,torso_with_base,0,1,0,,,,,,,,,,,,
left_shoulder,-0.0290397888125244,-0.0139965238802988,0.000273200540650258,0,0,0,0.0545537265363548,1.4435292987549E-05,-3.06680072978822E-07,-8.13515537359147E-08,1.0267269626089E-05,3.41404620185189E-08,1.12411417057138E-05,0,0,0,0,0,0,package://ajit_2/meshes/left_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/left_shoulder.STL,,shoulder-4,Origin_left_shoulder,Axis_left_shoulder,left_shoulder,continuous,0,0,0,1.5745,-0.14099,1.5445,left_shoulder_joint,0.026043,0,0.99966,,,,,,,,,,,,
left_upper_arm,0.030145339604696,-0.0911283429827465,-0.0128896304663745,0,0,0,0.122044806180425,3.91919011398007E-05,4.55626129193026E-07,-3.10811320045194E-07,3.89143477397343E-05,2.81736715157909E-06,3.80521417753794E-05,0,0,0,0,0,0,package://ajit_2/meshes/left_upper_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/left_upper_arm.STL,,upper_arm-4,Origin_left_upper_arm,Axis_left_upper_arm,left_upper_arm,continuous,0,0,0,-3.131,0.22013,3.1134,left_shoulder,0.043429,-0.99906,-0.0011314,,,,,,,,,,,,
left_lower_arm,-0.0258406908657342,-0.04223907403708,-0.00234479998268169,0,0,0,0.103756189377196,2.67457783544487E-05,5.60044040637988E-08,9.07354442813112E-09,2.1294635376876E-05,-2.69255599199436E-08,2.67276388960925E-05,0,0,0,0,0,0,package://ajit_2/meshes/left_lower_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/left_lower_arm.STL,,lower_arm-4,Origin_left_lower_arm,Axis_left_lower_arm,left_lower_arm,continuous,0.0078671,-0.17993,8.7293E-05,-3.0684,-0.28741,-3.0642,left_upper_arm,0.9907,0.04292,0.12912,,,,,,,,,,,,
left_hand,0.00577388838029674,-0.0430508603552061,0.000749746012168997,0,0,0,0.0468313871755756,2.40657096887482E-05,1.59437420920692E-06,2.14678470719642E-06,1.44249123853662E-05,1.14626895456253E-06,1.63260616228612E-05,0,0,0,0,0,0,package://ajit_2/meshes/left_hand.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/left_hand.STL,,left_hand-1,Origin_left_hand,Axis_left_hand,left_hand,continuous,-0.024156,-0.083279,-0.0008768,0.025587,-0.00094256,-0.067983,left_lower_arm,0.13098,-0.043811,-0.99042,,,,,,,,,,,,
right_shoulder_joint,-0.0109553595775277,-1.11022302462516E-16,0.000285404652196813,0,0,0,0.0197456142642723,7.41280348428632E-06,-1.42688655665397E-23,-1.14602623179672E-07,7.68967212426088E-06,7.6232965252887E-21,3.01672641659308E-06,0,0,0,0,0,0,package://ajit_2/meshes/right_shoulder_joint.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/right_shoulder_joint.STL,,shoulder_joint-2,Origin_right_shoulder_joint,Axis_right_shoulder_joint,right_shoulder_joint,continuous,-0.12785,-0.027088,0.77878,1.5286,-0.0010986,-0.026154,torso_with_base,0.99966,0,-0.026043,,,,,,,,,,,,
right_shoulder,-0.0221624918571401,-0.0174265924107773,9.40364114096898E-05,0,0,0,0.0545537294198839,1.44352933311808E-05,-3.06680132947808E-07,-8.13515631816331E-08,1.02672697436159E-05,3.41403487540323E-08,1.12411420499378E-05,0,0,0,0,0,0,package://ajit_2/meshes/right_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/right_shoulder.STL,,shoulder-2,Origin_right_shoulder,Axis_right_shoulder,right_shoulder,continuous,-0.049983,0,0.0013021,-3.141,0,3.1173,right_shoulder_joint,0.026043,0,0.99966,,,,,,,,,,,,
right_upper_arm,0.0236377470370784,-0.09433498259828,-0.00999909368294818,0,0,0,0.122044804954538,3.91919029135849E-05,4.55617665954089E-07,-3.10807130327579E-07,3.89143465096803E-05,2.81736833810396E-06,3.80521422584862E-05,0,0,0,0,0,0,package://ajit_2/meshes/right_upper_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/right_upper_arm.STL,,upper_arm-2,Origin_right_upper_arm,Axis_right_upper_arm,right_upper_arm,continuous,0,0,0,-3.1336,0.16315,3.1128,right_shoulder,0.043429,-0.99906,-0.0011314,,,,,,,,,,,,
right_lower_arm,0.0223372746251115,-0.0401518804069877,0.00393416857049689,0,0,0,0.103756180077498,2.67457767952851E-05,5.60047204760134E-08,9.07265128712855E-09,2.12946327837809E-05,-2.69253292183373E-08,2.67276360980012E-05,0,0,0,0,0,0,package://ajit_2/meshes/right_lower_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/right_lower_arm.STL,,lower_arm-2,Origin_right_lower_arm,Axis_right_lower_arm,right_lower_arm,continuous,0.00827675416176607,-0.18283513188171,0.00189631264114903,0.0287987216754847,0.28584203017497,0.00394998678496914,right_upper_arm,0.990700153693471,0.0429197675219366,0.129116610192475,,,,,,,,,,,,
right_hand,0.00535474626718152,-0.0429108956773968,0.00391878753012394,0,0,0,0.0468321402456518,2.46614235826484E-05,1.71965786038955E-06,-7.58448839611847E-08,1.42746877988596E-05,-5.63913627899617E-07,1.5880866166307E-05,0,0,0,0,0,0,package://ajit_2/meshes/right_hand.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ajit_2/meshes/right_hand.STL,,right_hand-4,Origin_right_hand,Axis_right_hand,right_hand,continuous,0.0240218455641587,-0.0811916209918689,0.00540216659320664,0.0180865510053456,0.000324336074754358,-0.0113724172010815,right_lower_arm,0.130977699707526,-0.0438112514097571,-0.990416789250483,,,,,,,,,,,,
